Prefix,Name
195.140.192.0/24,TREX
195.149.232.0/23,TPIXv4
195.182.218.0/23,PLIX
195.208.208.0/21,MSK-IX MSK v4
195.245.240.0/24,STH-A -- MTU4470
195.246.227.0/24,SMILE
195.35.65.0/24,UA-IX
195.42.144.0/23,Equinix Paris
195.60.80.0/26,Free-IX-v4
195.60.82.64/26,eXchange West IPv4
195.66.224.0/21,LINX (LON1)
195.66.236.0/22,LINX (LON2)
195.66.244.0/24,IXManchesterv4
195.66.246.0/24,IXScotland
195.69.117.0/24,Netnod Copenhagen v4
195.69.118.0/24,Netnod Copenhagen MTU4470 v4
195.69.119.0/24,STH-B -- MTU4470
195.85.217.0/24,N-IX
196.10.141.0/24,NAPAfrica Durban IPv4
196.11.234.0/24,ANGONIXv4
196.13.207.128/26,BFIX-OUAGA-IPv4
196.201.2.0/24,GIXv4
196.216.148.0/24,IXPN Lagos v4
196.216.150.0/24,IXPN - Abuja
196.216.151.0/24,IXPN - Port Harcourt v4
196.223.0.0/24,MIXP
196.223.1.0/24,AO-IXP
196.223.12.0/24,RINEX v4
196.223.2.0/24,LuIXP-v4
196.223.20.0/24,SIXP-v4
196.223.21.0/24,KenyaIX
196.223.22.0/23,CINX
196.223.24.0/24,LIXP-v4
196.223.25.0/25,UIXP IPv4
196.223.27.0/24,Malawi IXP
196.223.28.0/24,KINIX v4
196.223.30.0/23,DINX IPv4
196.223.32.0/24,CGIX-v4
196.223.33.0/24,MIX
196.223.34.0/24,SIXP
196.223.35.0/24,WHKIXv4
196.223.38.0/24,DJIXv4
196.223.39.0/24,Gab-IX v4
196.223.4.0/24,CIVIXv4
196.223.40.0/24,BENIN-IX
196.223.44.0/24,LIXP
196.223.5.0/24,TIX
196.223.6.0/24,AIXP
196.60.0.0/24,MIXP v4
196.60.106.0/24,DJAMIX-v4
196.60.112.0/24,CVIXP-v4
196.60.12.0/24,accra-ix-v4
196.60.120.0/24,NMBINX
196.60.122.0/24,Lionex-v4
196.60.2.0/24,MSA IPv4
196.60.40.0/24,SENIX IPv4
196.60.42.0/27,TGIX v4
196.60.44.0/24,HIX v4
196.60.46.0/24,MLIX v4
196.60.48.0/24,ZIXP v4
196.60.50.0/24,DIXP v4
196.60.54.0/24,MogIX
196.60.58.0/24,amsix-lagos-4
196.60.6.0/24,CAMIX v4
196.60.6.128/25,Duoala IXP v4
196.60.61.0/24,IXP-GUINEE
196.60.64.0/24,LUBIX v4
196.60.66.0/24,Asteroid MBA v4
196.60.70.0/23,NAPAfrica Cape Town IPv4
196.60.74.0/24,CASIX IPv4
196.60.76.0/24,BFIX-BOBO IPv4
196.60.78.0/24,Goma IPv4
196.60.8.0/22,NAPAfrica Johannesburg IPv4
196.60.84.0/24,DoualaIX-IPv4
196.60.96.0/23,JINX
196.61.191.0/24,JumboIX Lima-v4
198.17.46.0/24,SD-NAP
198.179.18.0/24,QIX IPv4 peering subnet
198.251.118.0/28,SOAX-v4
198.32.111.0/24,PAIX-Boston
198.32.112.0/24,PAIX-Boston
198.32.113.0/24,PAIX-Boston
198.32.117.0/24,PAIX-NY
198.32.118.0/24,PAIX-NY
198.32.119.0/24,PAIX-NY
198.32.122.0/24,Equinix São Paulo
198.32.124.0/23,NOTA
198.32.132.0/24,TelX v4
198.32.133.0/24,PAIX-Seattle
198.32.134.0/24,PAIX-Seattle
198.32.135.0/24,PAIX-Seattle
198.32.141.0/24,SOX
198.32.146.0/24,CIIX v4
198.32.157.0/24,BeirutIX IPv4
198.32.160.0/24,NYIIX
198.32.172.0/24,PhOpenIX v4
198.32.175.0/24,PAIX
198.32.176.0/24,PAIX
198.32.177.0/24,PAIX
198.32.181.0/24,PAIX-ATL
198.32.182.0/24,PAIX-ATL
198.32.183.0/24,PAIX-ATL
198.32.186.0/24,TelX Phoenix
198.32.190.0/24,PAIX-VA
198.32.191.0/24,PAIX-VA
198.32.192.0/24,PAIX-VA
198.32.195.0/24,NWAX
198.32.209.0/24,DIX
198.32.212.0/24,WAIX v4
198.32.224.0/24,MAGPI
198.32.231.0/24,NPIX
198.32.231.128/25,NPIX 2
198.32.236.0/24,Texas GigaPOP
198.32.238.0/24,BIG APE
198.32.42.0/24,MAGPI
198.32.99.0/24,PAIX-Miami
199.181.158.0/23,GRR-IX-v4
200.0.16.0/24,NAP de Cuba
200.0.17.0/24,CABASE-BUE v4
200.0.18.0/24,AIX
200.0.19.0/24,CABASE-NQN v4
200.0.20.0/24,CAR-IX
200.0.22.0/23,OCIX IPv4 Unicast
200.1.6.0/24,NAP.EC UIO
200.107.255.120/29,IXP Ecuador v4
200.107.83.0/24,IXP Costa Rica v4
200.110.120.0/24,NAP.EC GYE
200.115.80.0/24,CABASE-JUN v4
200.115.81.0/24,CABASE-LPL v4
200.115.82.0/24,CABASE-MDQ v4
200.115.83.0/24,CABASE-POS v4
200.115.84.0/24,CABASE-PMY v4
200.115.85.0/24,CABASE-BRC v4
200.13.83.0/24,CABASE-ROS v4
200.135.14.128/26,FURB IX
200.14.37.0/24,CABASE-BHB v4
200.14.38.0/24,CABASE-MZA v4
200.14.39.0/24,CABASE-DLC v4
200.14.74.0/24,CABASE-SFE v4
200.14.75.0/24,CABASE-COR v4
200.192.108.0/24,IX.br Campinas IPv4
200.192.109.0/24,IX.br Campina Grande v4
200.192.110.0/24,IX.br Brasília v4
200.192.111.0/24,IX.br Goiânia v4
200.219.130.0/24,IX.br Aracaju v4
200.219.138.0/24,IX.br Teresina v4
200.219.139.0/24,IX.br Belo Horizonte v4
200.219.140.0/24,IX.br Curitiba v4
200.219.141.0/24,IX.br Florianópolis v4
200.219.143.0/24,IX.br Porto Alegre v4
200.219.144.0/24,IX.br Londrina v4
200.219.145.0/24,IX.br Salvador v4
200.219.146.0/24,IX.br Fortaleza v4
200.219.147.0/24,IX.br Recife v4
200.23.206.0/24,PIT MX -v4
200.26.191.0/24,Patagonia IX_v4
200.75.174.0/24,IXP MegaLink
201.131.204.0/24,IXP.MX
201.131.206.0/24,QRO IXP
201.217.14.0/24,IXpy v4
202.12.243.0/24,MegaIX Perth v4
202.159.50.0/23,EPIX Jakarta-v4
202.249.2.0/24,DIX-IE v4
202.40.160.0/23,HKIX
202.7.0.0/23,WIX
202.77.88.0/23,EdgeIX
202.77.90.0/23,EdgeIX - Melbourne
202.88.42.0/24,IRIX-v4
203.143.4.0/27,SLIX-v4
203.159.67.0/26,BKNIX_IPv4
203.159.68.0/23,BKNIX v4
203.163.222.0/24,TPIX
203.190.227.0/24,Equinix Osaka
203.190.230.0/25,Equinix Tokyo
203.255.114.0/23,KRIX-IPv4
204.107.122.0/25,MKEIX
204.138.0.0/24,Puerto Rico IX v4
205.166.205.0/24,HIX
206.108.115.0/24,AMS-IX Chicago v4
206.108.236.0/24,Boston IX IPv4
206.108.255.0/24,MICE IPv4
206.108.34.0/23,TORIX
206.123.30.0/24,GCIIXv4
206.123.7.0/24,JxIX IPv4
206.126.109.0/24,WPGIXv4
206.126.114.0/24,TIE Dallas
206.126.115.0/24,TIE New York v4
206.126.116.0/24,YRIX
206.126.225.0/24,YYCIXv4
206.126.235.0/26,OmahaIX IPv4
206.126.236.0/22,Equinix Ashburn
206.126.244.0/24,GREX
206.130.15.0/24,HFXIXv4
206.130.61.0/24,BNIIXv4
206.197.169.0/24,EQUINIX-ED-NYC
206.197.187.0/24,SFMIXv4
206.197.210.0/24,DRF IX v4
206.220.241.0/24,StarLight
206.223.116.0/24,Equinix IBX San Jose
206.223.117.0/24,Equinix IBX Secaucus
206.223.118.0/23,Equinix IBX Dallas v4
206.223.123.0/24,Equinix LA
206.223.124.0/24,NAP-Colombia
206.223.125.0/24,TP-IX v4
206.223.127.0/24,PIX
206.223.131.0/24,Equinix NY
206.41.104.0/24,VANIX-v4
206.41.105.0/24,Phoenix-IX IPV4
206.41.106.0/24,AMS-IX Bay Area v4
206.41.107.0/24,JAIXP IPv4 subnet
206.41.108.0/24,FL-IX
206.41.109.0/24,TahoeIX v4
206.41.110.0/24,ChIX IPv4
206.51.40.0/24,Any2 NorthEast IPv4
206.51.41.0/24,Any2 NorCal IPv
206.51.42.0/24,Any2 Boston IPv4
206.51.43.0/24,Any2 Exchange Chicago
206.51.44.0/24,Any2 Miami IPv4
206.51.45.0/24,Any2 NY IPv4
206.51.46.0/24,Any2 Denver IPv4
206.51.7.0/24,KCIX v4
206.53.137.0/24,RVA-IX v4
206.53.139.0/24,Midwest-IX IPv4
206.53.140.0/24,YEGIX v4
206.53.141.0/27,DominicaIX
206.53.143.0/24,MASS-IX v4
206.53.170.0/24,Megaport IX Ashburn v4
206.53.171.0/24,MegaIX Seattle v4
206.53.172.0/24,Megaport IX Los Angeles v4
206.53.174.0/24,MegaIX Dallas v4
206.53.175.0/24,IX-Denver v4
206.53.201.0/24,SUPrnet v4
206.53.202.0/24,DE-CIX Dallas
206.53.203.0/24,MegaIX Toronto v4
206.53.204.0/24,Ohio IX v4
206.53.205.0/24,Megaport Las Vegas v4
206.53.207.0/25,MTU1500 v4
206.53.207.128/25,MTU9000 v4
206.55.196.0/23,LINXUSA-v4
206.71.10.0/24,STL-RIX v4
206.71.11.0/24,YXEIX-v4
206.71.12.0/24,CIX-ATL
206.71.13.0/24,Sacramento-IX
206.71.137.0/24,Moncton IX v4
206.71.138.0/24,Houston-IX
206.71.139.0/24,Dallas-IX
206.71.140.0/24,NNENIX v4
206.71.141.0/24,PIT-IX
206.71.142.0/24,MEX-IX v4
206.71.143.0/24,Charlotte-IX
206.71.15.0/24,BVIX-v4
206.71.8.0/25,MTU-1500
206.71.8.128/25,MTU-9000
206.71.9.0/25,MTU-1500
206.72.208.0/24,MBIXv4
206.72.210.0/23,Any2 Los Angeles
206.80.234.0/24,PhillyIX v4
206.80.235.0/24,CFLIX v4
206.80.238.0/24,FCIX v4
206.81.105.0/24,BaltIX IPv4
206.81.109.0/24,iX-OKC
206.81.80.0/23,SEATTLEIX-V4
206.82.104.0/22,DE-CIX New York
206.82.109.0/24,FD-IX-v4
206.82.110.0/23,OGIX-v4
206.83.12.0/24,STLIX v4
206.83.14.0/24,SAT-IX_v4
206.83.140.0/24,DACS-IX-West-v4
206.83.143.0/24,DACS-IX-Central-v4
206.83.42.0/24,ABQIX-IPv4
206.83.43.0/24,QCIX
206.83.44.0/24,DACS-IX East
206.83.46.0/24,CSIX
206.83.46.0/26,SVGIX-v4
206.83.8.192/27,Gig IX Ashburn
208.115.128.0/24,Equinix Bogota v4
208.115.136.0/23,Equinix Chicago IBX
208.169.85.248/29,SLiXv4
209.124.52.0/24,DET-IX IPv4
210.171.224.0/24,JPIX
210.173.184.0/23,JPNAP Osaka
210.173.188.0/25,JPNAP Fukuoka
210.184.127.0/24,IAIX
210.62.255.0/24,TWIX
212.138.252.0/25,SAIX v4
212.138.253.0/25,SAIX-Jeddah v4
212.81.56.0/24,DSIX-v4
212.91.0.0/22,Thinx-v4
213.162.194.0/24,NIXVAL-IX v4
213.184.52.0/24,RTIX IPv4 subnet
217.117.187.0/24,KRS-IX
217.174.157.0/24,B-IX Regional Peering IPv4 subnet
217.29.66.0/23,MIX
217.79.160.0/23,XP-London IXP
218.100.1.0/24,AUSIX
218.100.10.0/24,VNIX
218.100.14.0/24,VNIX-Ho Chi Minh
218.100.21.0/24,PNIX
218.100.24.0/24,CHIX
218.100.27.0/24,OpenIXP v4
218.100.3.0/24,PIPE Adelaide v4
218.100.31.0/24,IIX-Jabar
218.100.32.0/24,IIX-Surabaya
218.100.33.0/24,IIX-Bali
218.100.41.0/24,BIX
218.100.44.0/24,MyIX v4
218.100.48.0/26,NIXI Delhi
218.100.48.128/26,NIXI Chennai
218.100.48.192/26,NIXI Kolkata
218.100.48.64/26,NIXI Mumbai
218.100.49.0/26,NIXI Bangalore v4
218.100.49.128/26,NIXI Ahmedabad
218.100.49.64/26,NIXI Hyderabad
218.100.52.0/23,NSW-IXv4
218.100.54.0/25,SA-IX
218.100.54.128/25,ACT-IX IPv4
218.100.56.0/24,HIX
218.100.6.0/24,BBIX Tokyo v4
218.100.60.0/24,VNIX-v4
218.100.61.0/24,colocix_v4
218.100.7.0/24,BBIX
218.100.72.0/23,C2IX
218.100.78.0/24,QLD-IXv4
218.100.80.0/22,Pacific-IX v4
223.31.200.0/24,AMS-IX India v4
23.181.208.192/26,OpenIX Beirut-v4
27.106.194.0/25,IX Australia (Hobart TAS)
27.111.228.0/22,EQUINIX Singapore
27.124.87.0/24,BatamIX-Jakarta-v4
27.124.88.0/24,BatamIX v4
27.254.16.0/23,CSL Thai-IX Malaysia
27.254.196.0/23,CSL Thai-IX Bangkok
37.49.232.0/24,France-IX Marseille
37.49.236.0/22,France-IX IPv4
37.9.49.0/24,PITER-IX Tallinn
38.10.0.0/24,Extreme IX Bangalore
41.231.21.0/24,TunIXP v4
43.243.21.0/24,AKL-IX
43.243.22.0/23,MegaIX Auckland v4
43.252.146.0/23,openixp-v4
43.254.82.0/24,AIX
44.190.42.0/24,ARIX-v4
45.120.248.0/24,Extreme IX Delhi v4
45.120.249.0/24,Extreme IX Kolkata v4
45.120.251.0/24,Extreme IX Chennai v4
45.127.172.0/22,EQUINIX Sydney
45.13.136.0/24,RO-IX
45.164.110.0/24,IXSY
45.183.46.0/24,Peru IX-Arequipa-v4
45.183.47.0/24,PIT Peru v4
45.184.132.0/24,IX-DO-v4
45.185.43.0/24,IXP Infocom v4
45.186.143.0/24,UEPG IX v4
45.227.0.0/24,IX.br São Luís v4
45.227.1.0/24,IX.br Maceió v4
45.6.52.0/22,IX.br Rio de Janeiro v4
45.68.0.0/24,PITBolivia-v4
45.68.16.0/22,PIT Chile IPv4
45.68.20.0/24,SUR-IX-v4
45.68.24.0/24,PIT Colombia-Bogota-v4
